"";"Genes"
"894";"AT2G04100"
"895";"AT4G19440"
"896";"AT1G10650"
"897";"AT1G13520"
"898";"AT4G19460"
"899";"AT5G63905"
"900";"AT1G14330"
"901";"AT4G02660"
"902";"AT4G10720"
"903";"AT5G22940"
"904";"AT4G27910"
"905";"AT2G04460"
"906";"AT1G70185"
"907";"AT3G54560"
"908";"AT1G14060"
"909";"AT3G15980"
"910";"AT5G20230"
"911";"AT3G13432"
"912";"AT4G36020"
"913";"AT5G28770"
"914";"AT5G16300"
"915";"AT1G26730"
"916";"AT1G32460"
"917";"AT4G31970"
"918";"AT4G24400"
"919";"AT3G59750"
"920";"AT2G35190"
"921";"AT1G36590"
"922";"AT4G25710"
"923";"AT4G04710"
"924";"AT4G28703"
"925";"AT3G55700"
"926";"AT5G05330"
"927";"AT2G31420"
"928";"AT2G32830"
"929";"AT3G13110"
"930";"AT4G37390"
"931";"AT1G62320"
"932";"AT4G29850"
"933";"AT5G13490"
"934";"AT5G46871"
"935";"AT4G30370"
"936";"AT1G51915"
"937";"AT2G16760"
"938";"AT2G02320"
"939";"AT5G38340"
"940";"AT5G16080"
"941";"AT3G45410"
"942";"AT5G55040"
"943";"AT2G14750"
"944";"AT5G37590"
"945";"AT5G50900"
"946";"AT3G45330"
"947";"AT3G53180"
"948";"AT3G48020"
"949";"AT1G79710"
"950";"AT1G74020"
"951";"AT5G54840"
"952";"AT1G30450"
"953";"AT2G44010"
"954";"AT3G10720"
"955";"AT4G22070"
"956";"AT5G38710"
"957";"AT4G11480"
"958";"AT5G55120"
"959";"AT4G19970"
"960";"AT1G20930"
"961";"AT1G30110"
"962";"AT5G51460"
"963";"AT5G60260"
"964";"AT1G23550"
"965";"AT4G34200"
"966";"AT1G50745"
"967";"AT5G64667"
"968";"AT1G09575"
"969";"AT2G45360"
"970";"AT4G16260"
"971";"AT5G01715"
"972";"AT2G28110"
"973";"AT1G21540"
"974";"AT3G22660"
"975";"AT4G14630"
"976";"AT3G50260"
"977";"AT1G65610"
"978";"AT5G03030"
"979";"AT2G46495"
"980";"AT1G76560"
"981";"AT1G24095"
"982";"AT5G41755"
"983";"AT4G27950"
"984";"AT2G02340"
"985";"AT5G28610"
