"";"Genes"
"822";"AT3G10930"
"823";"AT2G32930"
"824";"AT2G44070"
"825";"AT5G61530"
"826";"AT5G67350"
"827";"AT1G21550"
"828";"AT5G13100"
"829";"AT3G54850"
"830";"AT3G25210"
"831";"AT1G57650"
"832";"AT5G02490"
"833";"AT5G57190"
"834";"AT5G08335"
"835";"AT2G33700"
"836";"AT1G68330"
"837";"AT5G66480"
"838";"AT1G69890"
"839";"AT5G05300"
"840";"AT1G74750"
"841";"AT3G21070"
"842";"AT3G05710"
"843";"AT4G00330"
"844";"AT3G02070"
"845";"AT1G22180"
"846";"AT5G46780"
"847";"AT2G33580"
"848";"AT5G45480"
"849";"AT2G17290"
"850";"AT1G56240"
"851";"AT1G08630"
"852";"AT1G66465"
"853";"AT2G35930"
"854";"AT5G09790"
"855";"AT4G04700"
"856";"AT5G45110"
"857";"AT4G25880"
"858";"AT3G62600"
"859";"AT3G19580"
"860";"AT3G23550"
"861";"AT1G21740"
"862";"AT5G64530"
"863";"AT4G02380"
"864";"AT5G04020"
"865";"AT5G42020"
"866";"AT2G27660"
"867";"AT1G11100"
"868";"AT5G48540"
"869";"AT1G25390"
"870";"AT2G04305"
"871";"AT1G67190"
"872";"AT3G49350"
"873";"AT4G24290"
"874";"AT4G17070"
"875";"AT1G15430"
"876";"AT3G18440"
"877";"AT4G35070"
"878";"AT2G20960"
"879";"AT1G73540"
"880";"AT1G51670"
"881";"AT3G45650"
"882";"AT5G47230"
"883";"AT1G05020"
"884";"AT5G01542"
"885";"AT1G31010"
"886";"AT1G57990"
"887";"AT3G44850"
"888";"AT3G53150"
"889";"AT4G12120"
"890";"AT4G03430"
"891";"AT2G39360"
"892";"AT3G02520"
"893";"AT1G80510"
"894";"AT1G19010"
"895";"AT1G65850"
"896";"AT3G44110"
"897";"AT5G41550"
"898";"AT3G07780"
"899";"AT3G23250"
"900";"AT2G23270"
"901";"AT3G22260"
"902";"AT1G15800"
"903";"AT5G60820"
"904";"AT4G15070"
"905";"AT5G43420"
"906";"AT5G04170"
"907";"AT4G24570"
"908";"AT4G15410"
"909";"AT2G19880"
"910";"AT5G67250"
"911";"AT5G32481"
"912";"AT2G02860"
"913";"AT2G29730"
"914";"AT2G23450"
"915";"AT1G66680"
"916";"AT4G26910"
"917";"AT4G29900"
"918";"AT2G20010"
"919";"AT5G64905"
"920";"AT1G51800"
"921";"AT3G60690"
"922";"AT2G06530"
"923";"AT3G57280"
"924";"AT3G12910"
"925";"AT1G10140"
"926";"AT3G07580"
"927";"AT4G37290"
"928";"AT5G28540"
"929";"AT5G63490"
"930";"AT4G25110"
"931";"AT5G38900"
"932";"AT3G52540"
"933";"AT1G65845"
"934";"AT5G45060"
"935";"AT1G12420"
"936";"AT4G17720"
"937";"AT3G19910"
"938";"AT3G10815"
"939";"AT1G22403"
"940";"AT5G62150"
"941";"AT5G09680"
"942";"AT4G15233"
"943";"AT3G62260"
"944";"AT4G14610"
"945";"AT5G51440"
"946";"AT5G45130"
"947";"AT4G08770"
"948";"AT1G61430"
"949";"AT3G51330"
"950";"AT3G14090"
"951";"AT3G54740"
"952";"AT5G22780"
"953";"AT1G35580"
"954";"AT3G08760"
"955";"AT2G02010"
"956";"AT3G55150"
"957";"AT3G10800"
"958";"AT2G39480"
"959";"AT5G66790"
"960";"AT1G16930"
